series,file,title,version,drive_id,bytes,url
command-broker,CB-IB_Qualification_Standard.pdf,CB-IB Qualification Standard,v0.1,1YeZa9RQ-jKEeMaIoXA7-aDE6McH_Zu30,243872,https://scubanuke.github.io/publications/command-broker/CB-IB_Qualification_Standard.pdf
command-broker,CB-UC-1_BA_Integrated_Interface.pdf,CB-UC-1: BA Integrated Interface,v0.1,1TvGEpY89GcvcIwDMtscS7xFil9hXL-2o,225997,https://scubanuke.github.io/publications/command-broker/CB-UC-1_BA_Integrated_Interface.pdf
dba-uxs,DBA-UxS_Cross_Sector.pdf,DBA-UxS: Cross-Sector Uncrewed Systems,v1.1,1X8bCPK6zguTq7JmJ1z0cZGTbE26etBff,228969,https://scubanuke.github.io/publications/dba-uxs/DBA-UxS_Cross_Sector.pdf
dba-uxs,DBA-MA-UxS-NA_Nuclear_Annex.pdf,DBA-MA-UxS-NA: Nuclear Annex,v1.1,1VuPjcN9bln--Ly9Cza9Rmm6A0BAfE_F_,233054,https://scubanuke.github.io/publications/dba-uxs/DBA-MA-UxS-NA_Nuclear_Annex.pdf
papers,GenAI_Risk_ICS.pdf,GenAI Risk in ICS,V29,1GZteXYkofS_hgdl02pzzwfH7T13u7oZc,232763,https://scubanuke.github.io/publications/papers/GenAI_Risk_ICS.pdf
papers,GenMix_Optimization_Whitepaper.pdf,GenMix Optimization Whitepaper,v0.3,1TbGmIgAs8dYHoZyB72qS71k3gCoj6xOA,400665,https://scubanuke.github.io/publications/papers/GenMix_Optimization_Whitepaper.pdf
papers,UA_Grid_Defense_Cyber_Kinetic.pdf,UA Grid Defense: Cyber-Kinetic,v1.0,1W1lzZWYXGXvKiHhAvODnfuWOYhKXBBbb,481236,https://scubanuke.github.io/publications/papers/UA_Grid_Defense_Cyber_Kinetic.pdf
papers,Powering_the_Always_On_Economy.pdf,Powering the Always-On Economy,v0.4,10JhIhSG2X0y-JdTkmvqJPfUG0PcHWY9k,229095,https://scubanuke.github.io/publications/papers/Powering_the_Always_On_Economy.pdf
papers,Fuel_Cell_Position_Paper.pdf,Fuel Cell Position Paper,v0.1,1jQVJG6ejX5cLFlllQpkbuTv6t2581q-1,173430,https://scubanuke.github.io/publications/papers/Fuel_Cell_Position_Paper.pdf
awb,Tiered_Assessment_Framework.pdf,Tiered Assessment Framework,v2.5,1K039vZxQU7JrMLio4RW1iW_vNxo5KptC,235331,https://scubanuke.github.io/publications/awb/Tiered_Assessment_Framework.pdf
awb,ERT_Companion_Proposal.pdf,ERT Companion Proposal,v5.3,1F-ZYDirHKbwtMkpSmzdPpM_whxLoKF-t,401177,https://scubanuke.github.io/publications/awb/ERT_Companion_Proposal.pdf
awb,SCRM_Companion_Agent.pdf,SCRM Companion Agent,v1.0,1WC1RjC0F5VIpGiwKHXJQrnsQiHpF-hdf,154922,https://scubanuke.github.io/publications/awb/SCRM_Companion_Agent.pdf
awb,BES_Asset_Nomenclature_Specification.pdf,BES Asset Nomenclature Specification,v1.0,15gHhHNU5ZqLCRw-i98ID1vEnXwnTY1eF,451229,https://scubanuke.github.io/publications/awb/BES_Asset_Nomenclature_Specification.pdf
dba-ma-smr,DBA-MA-SMR-FC1_SMR_Facility_Class_Design_Basis.pdf,DBA-MA-SMR-FC1: SMR Facility-Class Design Basis,v0.4,,247665,https://scubanuke.github.io/publications/dba-ma-smr/DBA-MA-SMR-FC1_SMR_Facility_Class_Design_Basis.pdf
dba-ma-smr,DBA-MA-SMR-FC1-TB1_Multi_Module_ASSC_Adequacy.pdf,DBA-MA-SMR-FC1-TB1: Multi-Module Simultaneous ASSC Adequacy,v0.1,,199554,https://scubanuke.github.io/publications/dba-ma-smr/DBA-MA-SMR-FC1-TB1_Multi_Module_ASSC_Adequacy.pdf
